ID,Date,Team,Contact Type,Maven URL,Conversation ID,Sentiment,Interaction Count,User Request Summary,Agent Response Summary,Resolution Status,Transcript,Intent,Failure Mode,Escalation Trigger,Confidence,AI Notes,QA Status,⚠️ Value Check
1.0,2026-05-25 00:00:00,Commercial Ops,homeowner,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/8e393af2-9b0e-4e16-a22e-38963d63b296,8e393af2-9b0e-4e16-a22e-38963d63b296,NEGATIVE,7.0,The customer requested help regarding unsolicited texts from a pro after signing up for a project.,"The agent acknowledged the customer's issue with unsolicited texts from a pro and provided a reporting link. After confirming the customer's situation, the agent escalated the issue to a support agent for further assistance, noting that specialists were currently unavailable due to maintenance.",Escalated,"User: I need more help.
User: The pro has continued to text me. This is ridiculous.
User: I've asked them to stop.
User: I signed up for a project, but didn't end up choosing the pro. They've continued to text me since then. It has been more than a day now.
User: Tommi.d.hayes@gmail.com
User: HANDOFF_SYSTEM_MESSAGE: handoff_succeeded to genesys

- **providerConversationId**: 6d4bdb86-62d7-4188-8486-dd5daa109645
User: Thumbtack Specialists are currently unavailable due to system maintenance to help us serve you better. We will be back online shortly. We apologize for the inconvenience. In the meantime, please visit help.thumbtack.com for assistance.",stop pro from texting after declining,missing_tool,policy_required,high,"Maven cannot directly stop a pro's contact or enforce harassment policy, requiring human/Trust safety action.",,OK
2.0,2026-06-08 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/5af12bdf-bd6c-4d01-b1bb-f19a15271716,5af12bdf-bd6c-4d01-b1bb-f19a15271716,NEGATIVE,11.0,The customer requested to be removed from the email list after deleting their account.,"The agent confirmed the customer's email address and escalated the request to a support agent. After the customer reiterated their request, the agent confirmed the unsubscription from the email list and ended the session.",Escalated,"User: Please take my email off the emailing list. I deleted my account and you guys still email me. I do not want the emails.
User: D.pride95@icloud.com
User: HANDOFF_SYSTEM_MESSAGE: handoff_succeeded to genesys

- **providerConversationId**: 5c270577-162b-498c-9343-b28b48d58fdc
User: Hi! This is Faye with Thumbtack Support. Thank you for choosing Thumbtack! To get started, could you please provide your name?
[...middle omitted...]
User: D.PRIDE95@icloud.com
User: I understand you wanted to be removed to our email list. Let me go ahead and check that for you.
User: I've gone ahead and unsubscribe you to our email list. Moving forward, you will no longer receive any emails from us.
User: Are we still connected?
User: Since I haven't received a response, I will be ending this session to assist other clients. 

If you have any other questions, visit our help center https://help.thumbtack.com/

Again, this is Faye. Have a good one!",unsubscribe email after deleting account,missing_tool,process_required,high,"Maven lacks the action to unsubscribe a user from marketing emails, requiring a human to execute it.",,OK
3.0,2026-05-29 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/cbe33d1f-946d-40d8-9aca-58362b565c5f,cbe33d1f-946d-40d8-9aca-58362b565c5f,NEUTRAL,23.0,The user requested to talk with an agent regarding a refund.,The agent provided information on how to request a refund and escalated the user's request to a support agent. The support agent confirmed the refund request and explained the process for getting the refund back to the user's card instead of the Thumbtack balance.,Escalated,"User: Talk with an agent
User: Customer representatives
User: About my reform now
User: Refound
User: Refund
User: Alohahomeservicesfl@gmail.com
User: HANDOFF_SYSTEM_MESSAGE: handoff_succeeded to genesys

- **providerConversationId**: f02df431-cc10-4443-8688-8cf67b027d8c
User: Hey there! Thank you so much for reaching out. This is Jean with Thumbtack Support. How can I help?
User: Want to se where is my refund
[...middle omitted...]
estions section, too. This is a great way to save time by answering common customer concerns before they even have to ask. It makes your profile look much more professional and can actually give you a competitive edge by helping customers feel confident that you’re the right fit for their specific project.

https://help.thumbtack.com/article/improve-my-profile
User: Thanks for being part of the Thumbtack family, Ahmed. Looking forward to more years of partnership with you. Always rooting for your success - enjoy the weekend ahead and stay safe!",refund issued to card not balance,process_gap,process_required,high,Refund routing to original card requires manual human processing Maven cannot perform.,,OK
4.0,2026-06-01 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/1f846bd5-5e53-4a82-b963-77392ac6cf48,1f846bd5-5e53-4a82-b963-77392ac6cf48,NEUTRAL,12.0,User requested to connect with a live agent multiple times due to issues they were facing.,"Agent attempted to assist but ultimately connected the user to a live agent, Faye, for further support. The session ended without a response from the user.",Escalated,"User: Live agent
User: Issues
User: Need support from live agent
User: Asking the user if they will take a survey and if they need more help: Did I resolve your issue? If you still need help, let's keep chatting. If you're all set, please share your thoughts in our quick survey: https://thumbtack.co1.qualtrics.com/jfe/form/SV_9TEDedBJGqMWbTD?&Q_CreateFormSession=1&maven_id=1f846bd5-5e53-4a82-b963-77392ac6cf48

[...middle omitted...]
User: Hi! This is Faye with Thumbtack Support. Thank you for choosing Thumbtack! To get started, may I have your full name, phone number and email address on record to verify the account please?
User: Looks like you’re currently unavailable. Just checking to see if we are still connected?
User: Since I haven't received a response, I will be ending this session to assist other clients. 

If you have any other questions, visit our help center https://help.thumbtack.com/

Again, this is Faye. Have a good one!",reach live agent for unspecified issue,intent_misread,explicit_human_request,medium,"Pro insisted on a human before stating the problem, so Maven had nothing concrete to resolve.",,OK
5.0,2026-06-09 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/1ceaaa73-522b-4fc5-90a4-9d049f666d2a,1ceaaa73-522b-4fc5-90a4-9d049f666d2a,NEGATIVE,23.0,"The customer inquired about the deactivation of their account, expressed frustration over being linked to another company, and demanded an immediate refund.","The agent checked the customer's account status and found it linked to a removed account, explaining the deactivation. The customer expressed frustration and demanded a refund, threatening legal action. The agent escalated the issue to the partner team for further review and informed the customer that a refund could not be processed until the investigation was complete. The agent offered to assist further but ultimately disengaged after addressing the customer's concerns.",Escalated,"User: Why was my account deactivated?
User: admin@currentconnectionstexas.com
User: Why was my account deactivated
User: HANDOFF_SYSTEM_MESSAGE: handoff_succeeded to genesys

- **providerConversationId**: 3fde1a12-9a45-4298-96ac-15e520759bc3
[...middle omitted...]
ou don't have any unrelated questions aside from your dispute, I'll now need to disengage from this interaction. Please don't hesitate to circle back if you still need help, or visit our Help Center for more information: https://help.thumbtack.com/article/troubleshooting-pro-account-issues.

In the meantime, you may receive a short email or text survey about our chat today. Your feedback would be greatly appreciated.

Thanks for contacting Thumbtack Support, Aldair. Always rooting for your success - have a great rest of your week and stay safe!",appeal account deactivation and get refund,missing_authority,policy_required,high,"Account linkage investigation and refund hold require human Trust/partner team review, beyond Maven's authority.",,OK
6.0,2026-06-05 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/c7aebaa3-0169-45ed-83f9-0c78f2e969b4,c7aebaa3-0169-45ed-83f9-0c78f2e969b4,NEUTRAL,28.0,The customer requested to speak with a live agent multiple times and needed help creating a new account after their previous account was deactivated.,The agent escalated the request to a live support agent after the customer repeatedly requested a live agent. The live agent informed the customer that their account could not be restored and provided a link to the Help Center for further assistance.,Escalated,"User: Hello i am not yet done
User: Live agent
User: live agent
User: I need to create a new account since you deactivated our account with enough evidence
User: HANDOFF_SYSTEM_MESSAGE: handoff_succeeded to genesys

- **providerConversationId**: be9363e2-979f-4dd4-b378-58e0890cd94e
User: Hi there! Thanks for reaching out. I’m Belle, and I’d be happy to help you today.
[...middle omitted...]
User: Apoogies however our Reactivations and Trust and Safety team won’t reverse this decision... We wish you the best with your business even outside Thumbtack!
User: I'm going to close this chat to keep things moving, but you can always find quick answers in our Help Center - https://help.thumbtack.com.
User: You might receive a quick survey about our chat. Your feedback would be greatly appreciated! 

Again, I’m Belle. Thanks for partnering with Thumbtack, and I’m rooting for your success! Have a great weekend and take care 
Denzelle!",create new account after deactivation,missing_authority,policy_required,high,Reactivation/new-account decisions are final Trust & Safety determinations no agent can override.,,OK
7.0,2026-05-19 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/880231ce-87f4-4cb1-9039-53afeb7969c6,880231ce-87f4-4cb1-9039-53afeb7969c6,NEGATIVE,15.0,"The customer reported being charged incorrectly for leads despite not accepting them, leading to significant financial loss.",The agent apologized for the customer's issue and provided information on managing budget and lead preferences. They assured the customer that a support agent would assist shortly.,Escalated,"User: I was waiting but no answer
User: I was getting charged for leads i was told the only way I should be charged if the customer responds however I kept putting my budget to max for the week but for whatever reason it keeps saying unlimited i been fixed it because its draining my account is have lost over 200  and its still saying I owe when I should not
[...middle omitted...]
User: I fixed it a few times and I get a message saying I owe i look and its back to unlimited  now if the app has a glitch this should be addressed because I should not have lost this much money for nothing
User: HELLO
User: I should have probably been only charged 6times not more than that It was explained that I only  get charged if I respond or they respond but that's not the case
User: Im still getting charged if I respond and accept it should only get charged right but im not even accepting and im still getting charged  WHY
User: AGENT",refund wrongful lead charges from budget glitch,knowledge_gap,emotional_distress,medium,"Maven couldn't investigate the suspected billing glitch or issue refunds, only offered generic budget guidance.",,OK
8.0,2026-06-09 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/aa832cab-3db6-40c2-a40a-be8d41bcdbb3,aa832cab-3db6-40c2-a40a-be8d41bcdbb3,NEUTRAL,11.0,The customer requested to stop automatic charges on leads and insisted on speaking to a live agent.,The agent provided steps to stop automatic charges for leads and offered to connect the customer with a live agent after the customer requested one multiple times. The agent asked for the customer's email to facilitate the connection.,Escalated,"User: Hello
User: How can I stop automatic charges on my account?
User: I'm not talking About those charges I'm talking about leadsthey come in and said I already pay for them
User: ???
User: I need an agent
User: Agent
User: Live agent
User: Now
User: sdkrtinoco@gmail.com
User: HANDOFF_SYSTEM_MESSAGE: handoff_succeeded to genesys

- **providerConversationId**: 653494a2-3c0c-49ca-aebc-eab99fc65d5b",stop automatic lead charges,intent_misread,explicit_human_request,medium,"Maven answered about autopay rather than the pro's actual lead-charge concern, prompting human demand.",,OK
9.0,2026-05-26 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/4631b6a9-2879-4c01-9b71-7f2fcec96e03,4631b6a9-2879-4c01-9b71-7f2fcec96e03,NEUTRAL,7.0,User requested assistance with account reactivation.,Agent confirmed an issue with the request and escalated the user to a support agent for further assistance.,Escalated,"User: Cristine Hess

Supercleankris@outlook.com
User: **********
User: HANDOFF_SYSTEM_MESSAGE: handoff_succeeded to genesys

- **providerConversationId**: 5cf8e5bf-a202-4830-b302-a81585fdea30
User: Hello, there! You are now connected to the Thumbtack Support team. Thank you for reaching out! My name is Chris.

I understand that you're seeking assistance with reactivating your account. I'd be happy to help!

[...middle omitted...]

You can contact us via the following channels:

Phone support is available by calling ************
Text support is available by texting ************
Chat support is available when you login to your Thumbtack account

All channels are open from 6am to 6pm MDT Mondays to Fridays except holidays.

For helpful resources and self-help options, you may consider visiting this link https://help.thumbtack.com/. 

Thank you again for contacting Thumbtack. Have a great day ahead and stay safe!",reactivate deactivated account,missing_authority,process_required,high,Account reactivation requires manual human review that Maven is not authorized to perform.,,OK
10.0,2026-05-27 00:00:00,Commercial Ops,pro,https://app.mavenagi.com/urls/thumbtack/support/c/private-thumbtack-sms/438ea8bd-71e9-4f82-95b2-f409747c13a0,438ea8bd-71e9-4f82-95b2-f409747c13a0,MIXED,11.0,"User expressed frustration with the quality of leads and refund handling, requesting manual review of denied refunds and escalation of the issue.","Agent acknowledged the user's concerns, escalated the issue to a support agent, and provided guidance on appealing refund denials. User was connected to the Thumbtack Support team for further assistance.",Escalated,"User: Hello,

I’m extremely frustrated with the quality of these direct leads and the way refund requests are being handled. Multiple customers never responded at all, yet refunds were denied automatically.

I do not understand how this follows Thumbtack’s own refund policy. Charging professionals for completely non-responsive or low-intent customers makes the platform feel unfair and unreliable.

[...middle omitted...]

For other helpful resources and self-help options, you may consider visiting this link https://help.thumbtack.com/. 

Thank you again for contacting us today and being the best part of Thumbtack. By the way, you may receive a short email (or text) survey about our chat today. Your feedback would be greatly appreciated! Always rooting for your success - Have a great day ahead and stay safe!",manual review of auto-denied lead refunds,missing_authority,evidence_ignored,high,Maven cannot override automated refund denials or perform manual lead-by-lead review.,,OK
